6tf2_A	6tf2_A
6tf2_A	7d7y_A
6tf2_A	6tf0_A
6tf2_A	7d7x_A
6tf2_A	7d7z_A
6tf2_A	6tfe_A
6tf2_A	6tf1_A
6tf2_A	6tf3_A
6tf2_A	7d7w_A
6tf2_A	6tfg_A
6tf2_A	6tff_A
6tf2_A	6tb7_A
6tf2_A	6tfh_A
1akx_A	1akx_A
1akx_A	1aju_A
1i9v_A	1i9v_A
1i9v_A	1tn2_A
1i9v_A	1evv_A
1i9v_A	1tn1_A
3k0j_E	3k0j_E
3k0j_E	3k0j_F
3k0j_E	4nya_A
3k0j_E	4nya_B
3k0j_E	2gdi_Y
3k0j_E	2gdi_X
3k0j_E	7tzr_Y
3k0j_E	7tzr_X
8d2b_A	8d2b_A
8d2b_A	8d2b_B
8d2b_A	8d5o_A
8d2b_A	8d5o_B
8d2b_A	8d28_A
8d2b_A	8d28_B
8d2b_A	8d2a_A
8d2b_A	8d2a_B
8d2b_A	8d5l_C
8d2b_A	8d5l_D
8d2b_A	8d5l_A
8d2b_A	8d5l_B
8d2b_A	1o15_A
8d2b_A	1eht_A
1uud_B	1uud_B
1uud_B	1uui_B
1uud_B	1arj_N
1uud_B	1uts_B
2hol_A	2hol_A
2hol_A	7td7_A
2hol_A	7tda_A
2hol_A	4nyb_A
2hol_A	7tdb_A
2hol_A	4nyg_A
2hol_A	7tdc_A
2hol_A	2hoo_A
2hol_A	2hom_A
2hol_A	2hop_A
2hol_A	8f4o_B
2hol_A	2hoj_A
2hol_A	7tzu_A
2hol_A	7tzt_A
5z1i_A	5z1i_A
6c64_A	6c64_A
6c64_A	6c64_B
6c64_A	8u60_C
6c64_A	8u60_A
6c64_A	8u60_B
6c64_A	6c63_A
6c64_A	6c63_B
6c64_A	6c63_C
6c64_A	6c65_A
6c64_A	6c65_B
6c64_A	6c65_C
6c64_A	8u5k_C
6c64_A	8u5k_A
6c64_A	8u5k_B
6c64_A	8u5p_A
3tzr_A	3tzr_A
3tzr_B	3tzr_B
2f4s_A	2f4s_A
2f4s_A	2f4s_B
2f4s_A	2f4t_A
2f4s_A	3s4p_A
2f4s_A	3s4p_B
2f4s_A	4f8v_A
2f4s_A	4f8v_B
2f4s_A	2f4u_A
2f4s_A	2f4u_B
2f4s_A	4f8u_B
2f4s_A	2pwt_A
2f4s_A	2pwt_B
7oa3_A	7oa3_A
7oa3_A	7oa3_B
7oa3_A	7oax_C
7oa3_A	7oax_D
7oa3_A	7oax_A
7oa3_A	7oax_B
7oa3_A	7oav_C
7oa3_A	7oav_D
7oa3_A	7oav_A
7oa3_A	7oav_B
7oa3_A	7oaw_C
7oa3_A	7oaw_D
7oa3_A	7oaw_A
7oa3_A	7oaw_B
6qiv_A	6qiv_A
7edm_A	7edm_A
7edm_A	7edm_B
7edm_A	3td1_A
7edm_A	3td1_B
4k32_A	4k32_A
4k32_A	4k32_B
